iter	Logloss
0	0.612556568211	0.546556223722	0.491756135333	0.445562223944	0.406536074755	0.372993301366	0.344254276
7	0.3196492937
8	0.2981527936
9	0.2795166988
10	0.2631494048111	0.2489150606112	0.2364209844113	0.22584002914	0.2163579934
15	0.2079602602
16	0.2007156612
17	0.1943497938
18	0.188801561
19	0.1839016614
20	0.1796495944
21	0.1759206841
22	0.1727052304
23	0.1697254402
24	0.1671383296
25	0.1648038298
26	0.1628719843
27	0.1610571505
28	0.1594699868
29	0.1580645356
30	0.1568070701
31	0.1556361906
32	0.1548545947
33	0.1539670739
34	0.1531978559
35	0.1525522144
36	0.1519847046
37	0.1514303695
38	0.1509046836
39	0.1505492218
40	0.1500822771
41	0.1497633384
42	0.1493895229
43	0.1491098628
44	0.1487730464
45	0.1485752175
46	0.148376074
47	0.1482408496
48	0.1481188203
49	0.147992904
50	0.1477388987
51	0.1474837274
52	0.1473883112
53	0.1473022204
54	0.1472194804
55	0.147142617
56	0.1470342006
57	0.1468650608
58	0.1468075815
59	0.1467543585
60	0.1466818214
61	0.1465380726
62	0.1464656938
63	0.146298716
64	0.1461503568
65	0.1460758547
66	0.1459602792
67	0.1458654595
68	0.1458223705
69	0.1457668606
70	0.1457244316
71	0.1456889399
72	0.1456100308
73	0.1455582516
74	0.1454660861
75	0.1453921988
76	0.1453594171
77	0.1452929312
78	0.1452042035
79	0.1451605213
80	0.1450774076
81	0.1450502669
82	0.1450035914
83	0.1449632243
84	0.1449049784
85	0.1448252984
86	0.1447936086
87	0.144749178
88	0.1447127959
89	0.1446727949
90	0.1446303358
91	0.1446083342
92	0.1445550477
93	0.1445238079
94	0.1444953601
95	0.1444398803
96	0.1444100165
97	0.1443674465
98	0.1443345077
99	0.1442755716
6
